ID,Name,Conf,Disabled,Campaigns,IconOverride,SkinGroupId,ObtainType,ObtainTypeCN,LastChance,MasterSkin,PetSkin,PetSkin2,PriceClubCoins,PriceStarPoints,PriceBling,PriceGems,DiscountPriceGems,PriceCoins,Rarity,TID,ShopTID,Features,CommunityCredit,MaterialsFile,BlueTexture,RedTexture,BlueSpecular,RedSpecular,OutlineShader,PackOfferAnimOverride,BattleIntroXOffset,BattleIntroZOffset,BattleIntroVFX,DisableCatalogRelease,CatalogPreRequirementSkin,CatalogNewDaysAdjustment,NotInCatalogTID
99,BowDudeMechaGold,BoMecha,,MECHA,,8,,,,,BowDudeTotemDefault,,,,,49,,,LEGENDARY,TID_BO_MECHA_GOLD_SKIN,TID_BO_MECHA_GOLD_SKIN_SHOP,"MODEL,VFX,ANIM,SFX,VOICE",,,"bo_mecha_tex.png+value(masks/bo/bo_mecha_colour01_msk.png,1.047000)+saturation(masks/bo/bo_mecha_colour01_msk.png,8.721000)+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+hue(masks/bo/bo_mecha_colour02_msk.png,16.000000)+value(masks/bo/bo_mecha_colour02_msk.png,3.605000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,213.488007)+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)","bo_mecha_tex.png+value(masks/bo/bo_mecha_colour01_msk.png,1.047000)+saturation(masks/bo/bo_mecha_colour01_msk.png,8.721000)+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+hue(masks/bo/bo_mecha_colour02_msk.png,16.000000)+value(masks/bo/bo_mecha_colour02_msk.png,3.605000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,213.488007)","bo_mecha_tex.png+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+hue(masks/bo/bo_mecha_colour01_msk.png,1.047000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,221.860001)+hue(masks/bo/bo_mecha_colour02_msk.png,8.372000)+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)","bo_mecha_tex.png+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+hue(masks/bo/bo_mecha_colour01_msk.png,1.047000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,221.860001)+hue(masks/bo/bo_mecha_colour02_msk.png,8.372000)",,,,,,,BoMecha,,
100,CrowMechaGold,CrowMecha,,MECHA,,9,,,,,,,,,,49,,,LEGENDARY,TID_CROW_MECHA_GOLD_SKIN,TID_CROW_MECHA_GOLD_SKIN_SHOP,"MODEL,VFX,ANIM,SFX,VOICE",,,crow_mechagold_tex.png,crow_mechagold_tex.png,crow_mechagold_tex.png,crow_mechagold_tex.png,,,,,,,CrowMecha,,
101,CrowMechaNight,CrowMecha,,MECHA,,9,,,,,,,,,,49,,,LEGENDARY,TID_CROW_MECHA_NIGHT_SKIN,TID_CROW_MECHA_NIGHT_SKIN_SHOP,"MODEL,VFX,ANIM,SFX,VOICE",,,"crow_mecha_tex.png+saturation(masks/crow/crow_mecha_colour01_msk.png,0.000000)+value(masks/crow/crow_mecha_colour01_msk.png,0.200000)+value(masks/crow/crow_mecha_colour02_msk.png,0.500000)+saturation(masks/crow/crow_mecha_colour02_msk.png,2.093000)+hue(masks/crow/crow_mecha_colour03_msk.png,209.302002)+value(masks/crow/crow_mecha_colour03_msk.png,1.400000)","crow_mecha_tex.png+saturation(masks/crow/crow_mecha_colour01_msk.png,0.000000)+value(masks/crow/crow_mecha_colour01_msk.png,0.200000)+value(masks/crow/crow_mecha_colour02_msk.png,0.500000)+saturation(masks/crow/crow_mecha_colour02_msk.png,2.093000)+hue(masks/crow/crow_mecha_colour03_msk.png,209.302002)+value(masks/crow/crow_mecha_colour03_msk.png,1.400000)","crow_mecha_tex.png+saturation(masks/crow/crow_mecha_colour01_msk.png,1.047000)+value(masks/crow/crow_mecha_colour01_msk.png,0.233000)+value(masks/crow/crow_mecha_colour02_msk.png,0.814000)+hue(masks/crow/crow_mecha_colour03_msk.png,209.302002)","crow_mecha_tex.png+saturation(masks/crow/crow_mecha_colour01_msk.png,1.047000)+value(masks/crow/crow_mecha_colour01_msk.png,0.233000)+value(masks/crow/crow_mecha_colour02_msk.png,0.814000)+hue(masks/crow/crow_mecha_colour03_msk.png,209.302002)",,,,,,,CrowMecha,,
102,BullDudeFootbullBlue,BullGuyFootbull,,,,,,,,,,,,,1000,29,,,RARE,TID_BULL_LINEBACKER_SKIN,TID_BULL_LINEBACKER_SKIN_SHOP,MODEL,,,"bull_footbull_tex.pvr+hue(masks/bull/bull_footbull_colour01_msk.png,217.673996)+value(masks/bull/bull_footbull_colour01_msk.png,1.744000)+saturation(masks/bull/bull_footbull_colour01_msk.png,2.558000)+value(masks/bull/bull_footbull_helmet_msk.png,0.465000)+value(masks/bull/bull_footbull_metal_msk.png,0.233000)","bull_footbull_tex.pvr+hue(masks/bull/bull_footbull_colour01_msk.png,217.673996)+value(masks/bull/bull_footbull_colour01_msk.png,1.744000)+saturation(masks/bull/bull_footbull_colour01_msk.png,2.558000)+value(masks/bull/bull_footbull_helmet_msk.png,0.465000)+value(masks/bull/bull_footbull_metal_msk.png,0.233000)","bull_footbull_tex.pvr+hue(masks/bull/bull_footbull_colour01_msk.png,217.673996)","bull_footbull_tex.pvr+hue(masks/bull/bull_footbull_colour01_msk.png,217.673996)",,,,,,,BullGuyFootbull,,
103,GunslingerOutlaw,GunSlingerRockstar,,,,,,,,,,,,,1000,29,,,RARE,TID_COLT_OUTLAW_SKIN,TID_COLT_OUTLAW_SKIN_SHOP,MODEL,,,colt_outlaw_tex.pvr,colt_outlaw_tex.pvr,colt_outlaw_tex.pvr,colt_outlaw_tex.pvr,,,,,,,,,
104,WhirlwindHogrider,WhirlwindHogrider,,CLASHIP,,,,,,,,,,,2750,79,69,,SUPER_RARE,TID_CARL_HOG_RIDER_SKIN,TID_CARL_HOG_RIDER_SKIN_SHOP,MODEL,,,carl_hogrider_tex.pvr,carl_hogrider_tex.pvr,carl_hogrider_tex.pvr,carl_hogrider_tex.pvr,,,,,,,,,
105,BallBeach,BallBeach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,ArcadeDefault,ArcadeDefault,,,,,,,,,DamageBoosterDefault,,,,,,,,,,,,,,8bit_tex.pvr,"8bit_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)",8bit_tex.pvr,"8bit_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)",,,,,,,,,
107,DamageBoosterDefault,DamageBoosterDefault,,,,,,,,,,,,,,,,,,,,,,,8bit_tex.pvr,"8bit_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)",8bit_tex.pvr,"8bit_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)",,,,,,,,,
108,SniperPink,SniperPink,,,,,,,,,,,,,1000,29,,,RARE,TID_PIPER_PINK_SKIN,TID_PIPER_PINK_SKIN_SHOP,MODEL,,,piper_pink_tex.pvr,piper_pink_tex.pvr,piper_pink_tex.pvr,piper_pink_tex.pvr,,,,,,,,,
109,ArcadeClassic,ArcadeClassic,,,,,,,,,DamageBoosterDefault,,,,1000,29,,,RARE,TID_8BIT_CLASSIC_SKIN,TID_8BIT_CLASSIC_SKIN_SHOP,MODEL,,,8bit_classic_tex.pvr,"8bit_classic_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)",8bit_classic_tex.pvr,"8bit_classic_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)",,,,,,,,,
110,NinjaShark,NinjaShark,,SUMMER,,,,,,,,,,,2750,79,69,,SUPER_RARE,TID_LEON_SHARK_SKIN,TID_LEON_SHARK_SKIN_SHOP,MODEL,,,shark_leon_tex.pvr,shark_leon_tex.pvr,shark_leon_tex.pvr,shark_leon_tex.pvr,,,,,,,,,
111,BlackHoleBlue,BlackHoleBlue,,,,,,,,,,,,,1000,29,,,RARE,TID_TARA_BLUE_SKIN,TID_TARA_BLUE_SKIN_SHOP,MODEL,,,tara_blue_tex.pvr,tara_blue_tex.pvr,tara_blue_tex.pvr,tara_blue_tex.pvr,,,,,,,,,
112,LootBoxMoonFestival,LootBoxMoonFestival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,SandstormDefault,SandstormDefault,,,,,,,,,,,,,,,,,,,,,,,sandy_tex.pvr,sandy_tex.pvr,sandy_tex.pvr,sandy_tex.pvr,,,,,,,,,
114,BeeSniperDefault,BeeSniperDefault,,,,,,,,,BeeSniperSlowPotDefault,,,,,,,,,,,,,,bea_tex.pvr,bea_tex.pvr,bea_tex.pvr,bea_tex.pvr,,,,,,,,,
115,BossRaceBossDefault,BossRaceBossDefault,,,,,,,,,,,,,,,,,,,,,,,bossbot_tex.pvr,bossbot_tex.pvr,bossbot_tex.pvr,bossbot_tex.pvr,,,,,,,,,
116,BarkeepWizardRed,BarkeepWizardRed,,,,,,4,,,,,,,1000,29,,,SUPER_RARE,TID_BARLEY_RED_WIZARD_SKIN,TID_BARLEY_RED_WIZARD_SKIN_SHOP,MODEL,,,"barley_wizard_tex.pvr+hue(masks/barley/coat_msk.png,133.953003)+value(masks/barley/coat_msk.png,0.698000)","barley_wizard_tex.pvr+hue(masks/barley/coat_msk.png,133.953003)+value(masks/barley/coat_msk.png,0.698000)","barley_wizard_tex.pvr+hue(masks/barley/coat_msk.png,133.953003)+value(masks/barley/coat_msk.png,0.698000)","barley_wizard_tex.pvr+hue(masks/barley/coat_msk.png,133.953003)+value(masks/barley/coat_msk.png,0.698000)",,,,,,,BarkeepWizard,,
117,HookPirate,HookPirate,,PIRATES,,,4,4,,,,,,,2750,79,,,SUPER_RARE,TID_GENE_PIRATE_SKIN,TID_GENE_PIRATE_SKIN_SHOP,MODEL,,,gene_pirate_tex.pvr,gene_pirate_tex.pvr,gene_pirate_tex.pvr,gene_pirate_tex.pvr,,,,,,,,,
118,Sandstormsleepy,Sandstormsleepy,,,,,,,,,,,,,1000,29,,,RARE,TID_SANDY_SLEEPY_SKIN,TID_SANDY_SLEEPY_SKIN_SHOP,MODEL,,,sleepy_sandy_tex.pvr,sleepy_sandy_tex.pvr,sleepy_sandy_tex.pvr,sleepy_sandy_tex.pvr,,,,,,,,,
119,MummyDefault,MummyDefault,,,,,,,,,,,,,,,,,,,,,,,emz_tex.pvr,emz_tex.pvr,emz_tex.pvr,emz_tex.pvr,,,,,,,,,
121,SpawnerDudeDefault,SpawnerDudeDefault,,,,,,,,,SpawnerDudeTurretDefault,SpawnerPetDefault,,,,,,,,,,,,,mrp_tex.pvr,mrp_tex.pvr,mrp_tex.pvr,mrp_tex.pvr,,,,,,,,,
123,MechanicKnightDark,MechanicKnightDark,,,,,,,,,TurretDragonDark,,,,1500,39,,,EPIC,TID_JESSIE_DARK_KNIGHT_SKIN,TID_JESSIE_DARK_KNIGHT_SKIN_SHOP,"MODEL,TURRET,VFX,ANIM",,,jessie_knight_dark_tex.pvr,jessie_knight_dark_tex.pvr,jessie_knight_dark_tex.pvr,jessie_knight_dark_tex.pvr,,,,,,,MechanicKnight,,
124,TurretDragonDark,TurretDragonDark,,,,,,,,,,,,,,,,,,,,,,,jessie_knight_dark_turret_tex.pvr,jessie_knight_dark_turret_tex.pvr,jessie_knight_dark_turret_tex.pvr,jessie_knight_dark_turret_tex.pvr,,,,,,,,,
125,HammerDudeDJ,HammerDudeDJ,,,,,,,,,,,,,2750,79,69,,SUPER_RARE,TID_FRANK_DJ_SKIN,TID_FRANK_DJ_SKIN_SHOP,"MODEL,TEXTURE,VFX",,,frank_dj_tex.pvr,frank_dj_tex.pvr,"frank_dj_tex.pvr+value(masks/frank/frank_dj_coat_msk.png,0.200000)","frank_dj_tex.pvr+value(masks/frank/frank_dj_coat_msk.png,0.200000)",,,,,,,,,
127,SpeedyDefault,SpeedyDefault,,,,,,,,,,,,,,,,,,,,,,,max_tex.pvr,max_tex.pvr,max_tex.pvr,max_tex.pvr,,,,,,,,,
128,LuchadorBrown,LuchadorBrown,,LINE,,,,3,,,,,,,5000,149,,,EPIC,TID_EL_PRIMO_BROWN_SKIN,TID_EL_PRIMO_BROWN_SKIN_SHOP,"MODEL,VFX,ANIM",,,primo_brown_tex.pvr,primo_brown_tex.pvr,primo_brown_tex.pvr,primo_brown_tex.pvr,,,250,,,,,,
129,ef1bef78db93b8eaf0829e4478593a5c2af67dc9,BallDefault,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,TrickshotDudeTotal,TrickshotDudeTotal,,ANNIVERSARY2019,,,4,4,true,,,,,,2750,79,,,SUPER_RARE,TID_RICO_BETA_SKIN,TID_RICO_BETA_SKIN_SHOP,MODEL,,,rico_og_tex.pvr,rico_og_tex.pvr,rico_og_tex.pvr,rico_og_tex.pvr,,,,,,,,,
131,NinjaSally,NinjaSally,,LINE,,,,3,,,,,,,2750,79,,,SUPER_RARE,TID_LEON_SALLY_SKIN,TID_LEON_SALLY_SKIN_SHOP,"MODEL,VFX",,,leon_sally_tex.pvr,leon_sally_tex.pvr,leon_sally_tex.pvr,leon_sally_tex.pvr,,,,,,,,,
132,WhirlwindLeonard,WhirlwindLeonard,,LINE,,,,3,,,,,,,2750,79,,,SUPER_RARE,TID_CARL_LEONARD_SKIN,TID_CARL_LEONARD_SKIN_SHOP,"MODEL,VFX",,,carl_leonard_tex.pvr,carl_leonard_tex.pvr,carl_leonard_tex.pvr,carl_leonard_tex.pvr,,,,,,,,,
133,TntDudeSantaRope,TntDudeSantaRope,,,,,,,,,,,,,,,,,,,,,,,"dynamike_santa_tex.pvr+hue(masks/dynamike/dynamike_santa_msk.png,221.860001)",dynamike_santa_tex.pvr,"dynamike_santa_tex.pvr+hue(masks/dynamike/dynamike_santa_msk.png,213.488007)",dynamike_santa_tex.pvr,,,,,,,,,
134,WhirlwindPirate,WhirlwindPirate,,PIRATES,,,4,4,,,,,,,5000,149,,,EPIC,TID_CARL_CAPTAIN_SKIN,TID_CARL_CAPTAIN_SKIN_SHOP,"MODEL,VFX,ANIM",,,"carl_pirate_tex.pvr+value(masks/carl/carl_flag_msk.png,0.000000)","carl_pirate_tex.pvr+value(masks/carl/carl_flag_msk.png,0.000000)","carl_pirate_tex.pvr+value(masks/carl/carl_flag_msk.png,0.000000)","carl_pirate_tex.pvr+value(masks/carl/carl_flag_msk.png,0.000000)",,,-250,-500,,,,,
135,GunslingerPirate,GunslingerPirate,,PIRATES,,,4,4,,,,,,,5000,149,,,EPIC,TID_COLT_CORSAIR_SKIN,TID_COLT_CORSAIR_SKIN_SHOP,"MODEL,VFX,ANIM",,,colt_pirate_tex.pvr,colt_pirate_tex.pvr,colt_pirate_tex.pvr,colt_pirate_tex.pvr,,,,,,,,,
136,CtfGift,CtfGift,,,,,,,,,,,,,,,,,,,,,,,item_present_blue.pvr,item_present_red.pvr,,,,,,,,,,,
137,SpeedyGT,SpeedyGT,,,,,,,,,,,,,1000,29,,,RARE,TID_MAX_BLUE_SKIN,TID_MAX_BLUE_SKIN_SHOP,MODEL,,,max_gt_tex.pvr,max_gt_tex.pvr,max_gt_tex.pvr,max_gt_tex.pvr,,,,,,,,,
138,BeeSniperDefaultAddonBee,BeeSniperDefaultAddonBee,,,,,,,,,,,,,,,,,,,,,,,bea_tex.pvr,bea_tex.pvr,bea_tex.pvr,bea_tex.pvr,,,,,,,,,
139,BeeSniperLadyBug,BeeSniperLadyBug,,,,,,,,,BeeSniperSlowPotDefault,,,,1000,29,,,RARE,TID_BEA_LADYBUG_SKIN,TID_BEA_LADYBUG_SKIN_SHOP,MODEL,,,bea_ladybug_tex.pvr,bea_ladybug_tex.pvr,bea_ladybug_tex.pvr,bea_ladybug_tex.pvr,,,,,,,,,
140,PocoPirate,PocoPirate,,PIRATES,,,4,4,,,,,,,2750,79,,,SUPER_RARE,TID_POCO_PIRATE_SKIN,TID_POCO_PIRATE_SKIN_SHOP,"MODEL,VFX",,,poco_pirate_tex.pvr,poco_pirate_tex.pvr,poco_pirate_tex.pvr,poco_pirate_tex.pvr,,,,150,,,,,
141,BeeSniperLadyBugAddonBee,BeeSniperLadyBugAddonBee,,,,,,,,,,,,,,,,,,,,,,,bea_ladybug_tex.pvr,bea_ladybug_tex.pvr,bea_ladybug_tex.pvr,bea_ladybug_tex.pvr,,,,,,,,,
142,DrillerDefault,DrillerDefault,,,,,,,,,,,,,,,,,,,,,,,jacky_tex.pvr,jacky_tex.pvr,jacky_tex.pvr,jacky_tex.pvr,,,,,,,,,
143,ArcadeVirus,ArcadeVirus,,LNY,,,4,4,true,,DamageBoosterVirus,,,,,299,,,LEGENDARY,TID_8BIT_VIRUS_SKIN,TID_8BIT_VIRUS_SKIN_SHOP,"MODEL,TEXTURE,VFX,ANIM,VOICE",,,8bit_virus_tex.pvr,8bit_virus_tex.pvr,8bit_virus_tex.pvr,8bit_virus_tex.pvr,,,,,,,,,
144,DamageBoosterVirus,DamageBoosterVirus,,,,,,,,,,,,,,,,,,,,,,,8bit_virus_tex.pvr,"8bit_virus_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)",8bit_virus_tex.pvr,"8bit_virus_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)",,,,,,,,,
145,BlackHoleStreetNinja,BlackHoleStreetNinja,,LNY,,,4,4,true,,,,,,2750,79,,,SUPER_RARE,TID_TARA_STREET_NINJA_SKIN,TID_TARA_STREET_NINJA_SKIN_SHOP,"MODEL,TEXTURE,VFX,ANIM",,,tara_streetninja_tex.pvr,tara_streetninja_tex.pvr,tara_streetninja_tex.pvr,tara_streetninja_tex.pvr,,,,,,,,,
146,BaseballGamer,BaseballGamer,,LNY,,,4,4,true,,,,,,5000,149,,,EPIC,TID_BIBI_GAMER_SKIN,TID_BIBI_GAMER_SKIN_SHOP,"MODEL,TEXTURE,VFX,ANIM",,,bibi_gamer_tex.pvr,bibi_gamer_tex.pvr,bibi_gamer_tex.pvr,bibi_gamer_tex.pvr,,,,,,,,,
148,ShamanKoala,ShamanKoala,,,,,,,,,ShamanBearKoala,,,,2750,79,69,,SUPER_RARE,TID_NITA_KOALA_SKIN,TID_NITA_KOALA_SKIN_SHOP,MODEL,,,nita_koala_tex.pvr,nita_koala_tex.pvr,nita_koala_tex.pvr,nita_koala_tex.pvr,,,,,,,,,
149,ShamanBearKoala,ShamanBearKoala,,,,,,,,,,,,,,,,,,,,,,,nita_koala_bear_tex.pvr,nita_koala_bear_tex.pvr,nita_koala_bear_tex.pvr,nita_koala_bear_tex.pvr,,,,,,,,,
150,SpawnerPetDefault,SpawnerPetDefault,,,,,,,,,,,,,,,,,,,,,,,mrp_spawner_tex.pvr,mrp_spawner_tex.pvr,mrp_spawner_tex.pvr,mrp_spawner_tex.pvr,,,,,,,,,
151,SpawnerDudeTurretDefault,SpawnerDudeTurretDefault,,,,,,,,,,,,,,,,,,,,,,,mrp_spawner_tex.pvr,mrp_spawner_tex.pvr,mrp_spawner_tex.pvr,mrp_spawner_tex.pvr,,,,,,,,,
152,SpawnerDudeAgentP,SpawnerDudeAgentP,,,,,,,,,SpawnerDudeTurretAgentP,SpawnerPetAgentP,,,1000,29,,,RARE,TID_MRP_AGENT_SKIN,TID_MRP_AGENT_SKIN_SHOP,"MODEL,TURRET",,,mrp_agentp_tex.pvr,mrp_agentp_tex.pvr,mrp_agentp_tex.pvr,mrp_agentp_tex.pvr,,,,,,,,,
153,SpawnerPetAgentP,SpawnerPetAgentP,,,,,,,,,,,,,,,,,,,,,,,mrp_agentp_spawner_tex.pvr,mrp_agentp_spawner_tex.pvr,mrp_agentp_spawner_tex.pvr,mrp_agentp_spawner_tex.pvr,,,,,,,,,
154,SpawnerDudeTurretAgentP,SpawnerDudeTurretAgentP,,,,,,,,,,,,,,,,,,,,,,,mrp_agentp_spawner_tex.pvr,mrp_agentp_spawner_tex.pvr,mrp_agentp_spawner_tex.pvr,mrp_agentp_spawner_tex.pvr,,,,,,,,,
155,BlowerDefault,BlowerDefault,,,,,,,,,,,,,,,,,,,,,,,gale_tex.pvr,gale_tex.pvr,gale_tex.pvr,gale_tex.pvr,,,,,,,,,
156,ControllerDefault,ControllerDefault,,,,,,,,,,,,,,,,,,,,,,,nani_tex.pvr,nani_tex.pvr,nani_tex.pvr,nani_tex.pvr,,,,,,,,,
157,WallyDefault,WallyDefault,,,,,,,,,,,,,,,,,,,,,,,sprout_tex.pvr,sprout_tex.pvr,"sprout_tex.pvr+value(masks/sprout/sprout_glass_msk.png,1.000000)+hue(masks/sprout/sprout_glass_msk.png,347.441986)","sprout_tex.pvr+value(masks/sprout/sprout_glass_msk.png,1.000000)+hue(masks/sprout/sprout_glass_msk.png,347.441986)",,,,,,,,,
158,BarrelBotFootball,BarrelBotFootball,,,,,,,,,,,,,2750,79,69,,SUPER_RARE,TID_MASCOT_DARRYL_SKIN,TID_MASCOT_DARRYL_SKIN_SHOP,"MODEL,TEXTURE,ANIM,VFX",,,darryl_fb_tex.pvr,darryl_fb_tex.pvr,darryl_fb_tex.pvr,darryl_fb_tex.pvr,,,,400,,,,,
159,ShotgunGirlFootball,ShotgunGirlFootball,,PSG,,,,,,,,,,,2750,79,69,,SUPER_RARE,TID_PSG_SHELLY_SKIN,TID_PSG_SHELLY_SKIN_SHOP,"MODEL,TEXTURE",,,shelly_fb_tex.pvr,shelly_fb_tex.pvr,shelly_fb_tex.pvr,shelly_fb_tex.pvr,,,,,,,,,
160,TntDudeFootball,TntDudeFootball,,,,,,,,,,,,,5000,149,129,,EPIC,TID_COACH_MIKE_SKIN,TID_COACH_MIKE_SKIN_SHOP,"MODEL,TEXTURE,ANIM,VFX",,,dynamike_coach_tex.pvr,dynamike_coach_tex.pvr,dynamike_coach_tex.pvr,dynamike_coach_tex.pvr,,,,,,,,,
161,BallArena,BallArena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,BowDudeHorus,BowDudeHorus,,SC_MAKE,,,,,,,BowDudeTotemDefault,,,,5000,149,129,,EPIC,TID_HORUS_BO_SKIN,TID_HORUS_BO_SKIN_SHOP,"MODEL,TEXTURE,ANIM,VFX",gedi-kor,,bo_falcon_tex.pvr,bo_falcon_tex.pvr,bo_falcon_tex.pvr,bo_falcon_tex.pvr,,,,,,,,,
164,BallArenaPSG,BallArenaPSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,ArtilleryDudeDarkBunny,ArtilleryDudeDarkBunny,,BUNNY_BRIGADE,,,,,,,ArtilleryTurretDarkBunny,ArtilleryDudeCoverDefault,,,1000,29,,,SUPER_RARE,TID_BLACK_BUNNY_PENNY_SKIN,TID_BLACK_BUNNY_PENNY_SKIN_SHOP,"MODEL,TEXTURE",,,penny_bunny_dark_redux_tex.pvr,penny_bunny_dark_redux_tex.pvr,penny_bunny_dark_redux_tex.pvr,penny_bunny_dark_redux_tex.pvr,,,,,,,ArtilleryGalBunny,,
166,ArtilleryTurretDarkBunny,ArtilleryTurretDarkBunny,,,,,,,,,,,,,,,,,,,,,,,penny_bunny_dark_redux_tex.pvr,penny_bunny_dark_redux_tex.pvr,penny_bunny_dark_redux_tex.pvr,penny_bunny_dark_redux_tex.pvr,,,,,,,,,
167,MummyCollege,MummyCollege,,,,,,,,,,,,,1000,29,,,RARE,TID_COLLEGE_EMZ_SKIN,TID_COLLEGE_EMZ_SKIN_SHOP,"MODEL,TEXTURE",,,emz_college_tex.pvr,emz_college_tex.pvr,emz_college_tex.pvr,emz_college_tex.pvr,,,,,,,,,
168,BeeSniperSlowPotDefault,BeeSniperSlowPotDefault,,,,,,,,,,,,,,,,,,,,,,,bea_gadget_honeypot_tex.pvr,bea_gadget_honeypot_tex.pvr,bea_gadget_honeypot_tex.pvr,bea_gadget_honeypot_tex.pvr,,,,,,,,,
169,MechanicTurretTanuki,MechanicTurretTanuki,,,,,,,,,,,,,,,,,,,,,,,jessie_tanuki_turret_redux_tex.pvr,jessie_tanuki_turret_redux_tex.pvr,jessie_tanuki_turret_redux_tex.pvr,jessie_tanuki_turret_redux_tex.pvr,,,,,,,,,
170,BowDudeTotemDefault,BowDudeTotemDefault,,,,,,,,,,,,,,,,,,,,,,,bo_gadget_totem_tex.pvr,bo_gadget_totem_tex.pvr,bo_gadget_totem_tex.pvr,bo_gadget_totem_tex.pvr,,,,,,,,,
171,TrickshotDudeBazaar,TrickshotDudeBazaar,,LANTERN,,,,,,,,,,,5000,149,129,,EPIC,TID_GUARD_RICO_SKIN,TID_GUARD_RICO_SKIN_SHOP,"MODEL,TEXTURE,ANIM,VFX,VOICE",,,rico_dark.pvr,rico_dark.pvr,rico_dark.pvr,rico_dark.pvr,,,,,,,,,
172,HookDudeBazaar,HookDudeBazaar,,LANTERN,,,,,,,,,,,5000,149,129,,EPIC,TID_EVIL_GENE_SKIN,TID_EVIL_GENE_SKIN_SHOP,"MODEL,TEXTURE,ANIM,VFX,SFX,VOICE",,,gene_dark_tex.pvr,gene_dark_tex.pvr,gene_dark_tex.pvr,gene_dark_tex.pvr,,,,,,,,,
173,UndertakerBazaar,UndertakerBazaar,,LANTERN,,,,,,,,,,,5000,149,129,,EPIC,TID_ROGUE_MORTIS_SKIN,TID_ROGUE_MORTIS_SKIN_SHOP,"MODEL,TEXTURE,ANIM,VFX,VOICE",,,mortis_dark_tex.pvr,mortis_dark_tex.pvr,mortis_dark_tex.pvr,mortis_dark_tex.pvr,,,,,,,,,
174,MechanicRedDragon,MechanicRedDragon,,CHINA,,,4,4,true,,TurretRedDragon,,,,2750,79,,,SUPER_RARE,TID_RED_DRAGON_JESSIE_SKIN,TID_RED_DRAGON_JESSIE_SKIN_SHOP,"MODEL,TEXTURE,PET",,,jessie_red_dragon_redux_tex.pvr,jessie_red_dragon_redux_tex.pvr,jessie_red_dragon_redux_tex.pvr,jessie_red_dragon_redux_tex.pvr,,,,,,,,,
175,TurretRedDragon,TurretRedDragon,,,,,,,,,,,,,,,,,,,,,,,jessie_red_dragon_turret_redux_tex.pvr,jessie_red_dragon_turret_redux_tex.pvr,jessie_red_dragon_turret_redux_tex.pvr,jessie_red_dragon_turret_redux_tex.pvr,,,,,,,,,
176,DrillerConstructor,DrillerConstructor,,,,,,,,,,,,,1000,29,,,RARE,TID_CONSTRUCTOR_JACKY_SKIN,TID_CONSTRUCTOR_JACKY_SKIN_SHOP,"MODEL,TEXTURE",,,jacky_constructor_tex.pvr,jacky_constructor_tex.pvr,jacky_constructor_tex.pvr,jacky_constructor_tex.pvr,,,,,,,,,
